,Unnamed: 0,tweet,hash,stopped,lemmaed
275,275,rubikaliyaquat abpnewshindi voted for the nationvoted in baghpat,kbpmselfie,rubikaliyaquat abpnewshindi voted nationvoted baghpat,rubikaliyaquat abpnewshindi voted nationvoted baghpat
276,276,ec stops the release of modi biopic cartoon for amarujalanews,modibiopic,ec stops release modi biopic cartoon amarujalanews,ec stop release modi biopic cartoon amarujalanews
278,278,respect is earned and then returned,thegreatawakening,respect earned returned,respect earned returned
280,280,narendramodi we are with you modi g,wewantmodiback,narendramodi modi g,narendramodi modi g
281,281,evms malfunction reported from kadapa badvel mydukur and proddatur segments iamrangarajan thehindu,loksabhaelections2019,evms malfunction reported kadapa badvel mydukur proddatur segments iamrangarajan thehindu,evms malfunction reported kadapa badvel mydukur proddatur segment iamrangarajan thehindu
282,282,ecisveep the biopic bothers you but this is fine,modi,ecisveep biopic bothers fine,ecisveep biopic bother fine
284,284,to continue development and zero tolerance for terrorism modi once more,doctorsformodi,continue development zero tolerance terrorism modi,continue development zero tolerance terrorism modi
286,286,vote for congress,myvoteforcongress,vote congress,vote congress
287,287,vote for namo,voteforindia,vote namo,vote namo
288,288,sudhirt25518927,vote4bjp,sudhirt25518927,sudhirt25518927
289,289,alluarjun,castyourvote,alluarjun,alluarjun
290,290,most votting for india,voteforindia,votting india,votting india
291,291,aajtak rahulgandhi modi se ac me baithkar kaledhan walo ko safed kar rahe hai be piddi rahulgandhi incindia,pappumutra,aajtak rahulgandhi modi se ac baithkar kaledhan walo ko safed kar rahe hai piddi rahulgandhi incindia,aajtak rahulgandhi modi se ac baithkar kaledhan walo ko safed kar rahe hai piddi rahulgandhi incindia
292,292,dear friends lets come out of your house and cast your vote for a strong nation,namoagain,dear friends lets come house cast vote strong nation,dear friend let come house cast vote strong nation
294,294,keep this in mindvote such that india will celebrate,voteforindia,keep mindvote india celebrate,keep mindvote india celebrate
295,295,took part in making the better future of our nation,kbpmselfie,took part making better future nation,took part making better future nation
296,296,are you going to vote today,indiaelections2019,going vote today,going vote today
297,297,bhavsarhardiik isiliye is sirf,nota,bhavsarhardiik isiliye sirf,bhavsarhardiik isiliye sirf
298,298,ive missed being in the same time zone as youuuuuuu welcome backkkkk president and our congress,welcomebackbts,ive missed time zone youuuuuuu welcome backkkkk president congress,ive missed time zone youuuuuuu welcome backkkkk president congress
299,299,my vote only for congress,myvoteforcongress,vote congress,vote congress
300,300,guys go out and vote please participate in this great festival of democracy this is our duty to vote,votekar,guys go vote please participate great festival democracy duty vote,guy go vote please participate great festival democracy duty vote
301,301,i just contributed to bernie sanders,vote,contributed bernie sanders,contributed bernie sander
302,302,abpnewstv,kbpmselfie,abpnewstv,abpnewstv
304,304,india pls b wise n think twice b 4 voting,voteforindia,india pls b wise n think twice b 4 voting,india pls b wise n think twice b 4 voting
305,305,vote for changetelusugaa vote for change,voteforchange,vote changetelusugaa vote change,vote changetelusugaa vote change
307,307,rakesht73827202,loksabhaelections2019,rakesht73827202,rakesht73827202
308,308,if you want progress amp decisive govt then vote for bjp vote for modi,voteforindia,want progress amp decisive govt vote bjp vote modi,want progress amp decisive govt vote bjp vote modi
309,309,massive anti incumbency against the bjp,voteforindia,massive anti incumbency bjp,massive anti incumbency bjp
310,310,vivek answers all your questions about the modi biopic,toughtalk,vivek answers questions modi biopic,vivek answer question modi biopic
311,311,socch kar samajh karvote against hate amp injustice,votekar,socch kar samajh karvote hate amp injustice,socch kar samajh karvote hate amp injustice
314,314,drpratiksha1 maithriim narendramodi kudos is in top,doctorsformodi,drpratiksha1 maithriim narendramodi kudos top,drpratiksha1 maithriim narendramodi kudos top
315,315,incindia shashitharoor this comment section is hilarious modi supporters are crushing cong,vote4bjp,incindia shashitharoor comment section hilarious modi supporters crushing cong,incindia shashitharoor comment section hilarious modi supporter crushing cong
316,316,for making us vigilant chowkidars,vote4bjp,making us vigilant chowkidars,making u vigilant chowkidars
317,317,vote casted,loksabhaelections2019,vote casted,vote casted
318,318,choose wisely,loksabhaelections2019,choose wisely,choose wisely
319,319,with dcp through congress some for conservation kjzz more w ecosearch,water,dcp congress conservation kjzz w ecosearch,dcp congress conservation kjzz w ecosearch
320,320,festival of democracy,indiaelections2019,festival democracy,festival democracy
321,321,yedanna,voteforglass,yedanna,yedanna
322,322,for better future,vote,better future,better future
323,323,done my duty,voteforglass,done duty,done duty
324,324,sknonline alluarjun,voteforglass,sknonline alluarjun,sknonline alluarjun
325,325,kashmir chahiye ya 72000 ka jhootha vada,vote4bjp,kashmir chahiye ya 72000 ka jhootha vada,kashmir chahiye ya 72000 ka jhootha vada
326,326,hum de aaye1 vote for,india,hum de aaye1 vote,hum de aaye1 vote
327,327,phase i andhra pradesh cm chandrababu naidu casts his vote,indiaelections2019,phase andhra pradesh cm chandrababu naidu casts vote,phase andhra pradesh cm chandrababu naidu cast vote
328,328,if your constituency has elections today please go out and vote,loksabhaelections2019,constituency elections today please go vote,constituency election today please go vote
329,329,jammu amp kashmir visuals from polling station number 152 in poonch,loksabhaelections2019,jammu amp kashmir visuals polling station number 152 poonch,jammu amp kashmir visuals polling station number 152 poonch
330,330,for bjp,vote,bjp,bjp
332,332,jammu amp kashmir visuals from polling station number 152 in poonch,loksabhaelections2019,jammu amp kashmir visuals polling station number 152 poonch,jammu amp kashmir visuals polling station number 152 poonch
333,333,say no to nota vote for narendramodi,loksabhaelections2019,say nota vote narendramodi,say nota vote narendramodi
334,334,umarganie1 omarabdullah for peace and prosperity in kashmir,modioncemore,umarganie1 omarabdullah peace prosperity kashmir,umarganie1 omarabdullah peace prosperity kashmir
336,336,support the final assault on poverty in india vote for nyay vote for congress,myvoteforcongress,support final assault poverty india vote nyay vote congress,support final assault poverty india vote nyay vote congress
337,337,arvindkejriwal vote judiciously vote for a better india lets paint the saffron all over modi once morevote bjp,election2019,arvindkejriwal vote judiciously vote better india lets paint saffron modi morevote bjp,arvindkejriwal vote judiciously vote better india let paint saffron modi morevote bjp
339,339,vote for narendramodi jiiii,voteforindia,vote narendramodi jiiii,vote narendramodi jiiii
340,340,aditykrdubey narendramodi bjp4india,modioncemore,aditykrdubey narendramodi bjp4india,aditykrdubey narendramodi bjp4india
341,341,rubikaliyaquat,kbpmselfie,rubikaliyaquat,rubikaliyaquat
343,343,casted my first loksabha vote,kbpmselfie,casted first loksabha vote,casted first loksabha vote
344,344,congress ke hat deshdrohi ke sath rahulgandhi incindia,novotecongress,congress ke hat deshdrohi ke sath rahulgandhi incindia,congress ke hat deshdrohi ke sath rahulgandhi incindia
345,345,yadavakhilesh prabhuchawla tumari demand never ending hai,aayegatohmodihi,yadavakhilesh prabhuchawla tumari demand never ending hai,yadavakhilesh prabhuchawla tumari demand never ending hai
347,347,tarak9999,voteforglass,tarak9999,tarak9999
348,348,abpnewstv manoj joshi hyderabad,kbpmselfie,abpnewstv manoj joshi hyderabad,abpnewstv manoj joshi hyderabad
353,353,yadavakhilesh vote for your future,loksabhaelections2019,yadavakhilesh vote future,yadavakhilesh vote future
358,358,kilafateh vote only congress,myvoteforcongress,kilafateh vote congress,kilafateh vote congress
359,359,yadavakhilesh,namoagain,yadavakhilesh,yadavakhilesh
362,362,celebrating,indiaelections2019,celebrating,celebrating
365,365,i requeste all the voters to please for nations development,vote,requeste voters please nations development,requeste voter please nation development
366,366,doctors saves lifesmodi saves nations,doctorsformodi,doctors saves lifesmodi saves nations,doctor save lifesmodi save nation
370,370,60 years of corruption vs 5 years of change choice is yours,indiaelections2019,60 years corruption vs 5 years change choice,60 year corruption v 5 year change choice
371,371,vinimanchu ysjagan jai jagan anna,voteforfan,vinimanchu ysjagan jai jagan anna,vinimanchu ysjagan jai jagan anna
372,372,incindia,phirekbaarmodisarkar,incindia,incindia
373,373,qazinizamuddin jai,congress,qazinizamuddin jai,qazinizamuddin jai
374,374,show your love india vote wisely for our dear country get inked,loksabhaelections2019,show love india vote wisely dear country get inked,show love india vote wisely dear country get inked
